Agent,time_step,reward,total_throughput_mbps,avg_ue_throughput_mbps,num_satisfied_ues,percentage_satisfied_ues,handovers_this_step,total_handovers_cumulative,avg_bs_load_factor,ue_details,num_connected_ues,sinr_min_db,sinr_max_db,sinr_avg_db,rbs_avg_per_ue,rsrp_avg_dbm,actual_num_ues,epsilon
Baseline,0.0,0.88125,118.80320859473439,4.752128343789374,25.0,100.0,0.0,0.0,0.75,[],25.0,49.60120522271436,106.90716692223363,68.22366160638121,1.0,-76.39408356392876,25.0,1.0
Baseline,1.0,0.88125,114.94893604997579,4.5979574419990294,25.0,100.0,0.0,0.0,0.75,[],25.0,48.69400192516548,107.09091034285632,66.54405694087221,1.0,-76.15674835036447,25.0,1.0
Baseline,2.0,0.85405,117.82914127595065,4.713165651038024,24.666666666666668,98.66666666666667,2.0,2.0,0.75,[],25.0,44.711048792293504,98.87608637949698,67.50877258391743,1.0,-76.50725987612331,25.0,1.0
Baseline,3.0,0.8739166666666667,116.94503863089426,4.677801545235769,24.666666666666668,98.66666666666667,0.3333333333333333,2.3333333333333335,0.75,[],25.0,42.58608521027882,107.21247191043716,69.01443836441877,1.0,-76.68297347857136,25.0,1.0
Baseline,4.0,0.8779166666666667,117.80525220664377,4.712210088265748,25.0,100.0,0.3333333333333333,2.6666666666666665,0.75,[],25.0,48.488897017394684,107.24430860862037,68.07861096979723,1.0,-77.25042789999439,25.0,1.0
Baseline,5.0,0.8745833333333333,119.06485623383374,4.762594249353349,25.0,100.0,0.6666666666666666,3.3333333333333335,0.75,[],25.0,52.09315784098134,103.48492468962623,67.65313208359937,1.0,-76.08597320464729,25.0,1.0
Baseline,6.0,0.86725,116.9946980503881,4.679787922015522,24.666666666666668,98.66666666666667,1.0,4.333333333333333,0.75,[],25.0,46.90170971761872,104.03566781048194,67.15940325798071,1.0,-76.98975704354785,25.0,1.0
Baseline,7.0,0.8607166666666667,116.63240867332475,4.66529634693299,24.666666666666668,98.66666666666667,1.3333333333333333,5.666666666666667,0.75,[],25.0,42.41914301791473,102.6492445657121,66.5900494388432,1.0,-76.08975510455961,25.0,1.0
Baseline,8.0,0.88125,117.40869320980194,4.696347728392077,25.0,100.0,0.0,5.666666666666667,0.75,[],25.0,48.04817844771963,106.88463440893433,66.95260751713077,1.0,-76.28825628676611,25.0,1.0
Baseline,9.0,0.8779166666666667,118.89366821349078,4.755746728539628,25.0,100.0,0.3333333333333333,6.0,0.75,[],25.0,48.93774233216627,104.55874936037965,68.88405596628722,1.0,-76.0582838240022,25.0,1.0
Baseline,10.0,0.88125,119.74236710139276,4.789694684055708,25.0,100.0,0.0,6.0,0.75,[],25.0,50.84494746986681,107.3023732694149,68.47701260859212,1.0,-75.92408984737783,25.0,1.0
Baseline,11.0,0.8779166666666667,121.34339165408949,4.853735666163577,25.0,100.0,0.3333333333333333,6.333333333333333,0.75,[],25.0,52.34765147477628,112.00523422685878,70.22279261027754,1.0,-76.35152785807708,25.0,1.0
Baseline,12.0,0.8679166666666666,118.85973875577139,4.7543895502308535,25.0,100.0,1.3333333333333333,7.666666666666667,0.75,[],25.0,50.521944151786634,104.21750691000693,68.54908074727963,1.0,-75.67630713521208,25.0,1.0
Baseline,13.0,0.87405,117.12947703696157,4.68517908147846,24.666666666666668,98.66666666666667,0.0,7.666666666666667,0.75,[],25.0,41.85829853023443,102.62105049731629,67.34717563906317,1.0,-76.72642606232499,25.0,1.0
Baseline,14.0,0.8679166666666666,120.05843332932487,4.802337333172994,25.0,100.0,1.3333333333333333,9.0,0.75,[],25.0,52.29497710051018,98.16476700546627,67.7660223130739,1.0,-76.09022406839165,25.0,1.0
Baseline,15.0,0.8745833333333333,121.26132719052579,4.85045308762103,25.0,100.0,0.6666666666666666,9.666666666666666,0.75,[],25.0,53.73789882710812,107.32645245084007,69.23033944407298,1.0,-77.21787335675843,25.0,1.0
Baseline,16.0,0.8707166666666667,118.42033760261116,4.736813504104444,24.666666666666668,98.66666666666667,0.3333333333333333,10.0,0.75,[],25.0,43.43693796974791,100.68694234115196,67.53644040001564,1.0,-76.59984741383936,25.0,1.0
Baseline,17.0,0.87125,119.59847369024338,4.783938947609733,25.0,100.0,1.0,11.0,0.75,[],25.0,47.4411682462484,101.59829488397826,69.61370936606072,1.0,-76.97818972890765,25.0,1.0
Baseline,18.0,0.8779166666666667,118.68085735795273,4.747234294318108,25.0,100.0,0.3333333333333333,11.333333333333334,0.75,[],25.0,46.12848334391685,101.91664088347672,68.26102298334426,1.0,-76.55653536762655,25.0,1.0
Baseline,19.0,0.88125,119.18440401717066,4.767376160686825,25.0,100.0,0.0,11.333333333333334,0.75,[],25.0,51.22331252339387,97.65127550150122,67.04022643845494,1.0,-76.59128371675035,25.0,1.0
Baseline,20.0,0.87125,118.81599121049133,4.752639648419652,25.0,100.0,1.0,12.333333333333334,0.75,[],25.0,48.11967730919537,108.43695656431412,68.16493649007093,1.0,-75.77369010781273,25.0,1.0
Baseline,21.0,0.8673833333333333,119.23733877303755,4.7694935509215,24.666666666666668,98.66666666666667,0.6666666666666666,13.0,0.75,[],25.0,45.45291244231357,106.08391065230505,68.09419171943777,1.0,-75.91238427064245,25.0,1.0
Baseline,22.0,0.8745833333333333,120.38795148038484,4.815518059215392,25.0,100.0,0.6666666666666666,13.666666666666666,0.75,[],25.0,54.17656198900702,97.10317714660373,67.27939598922673,1.0,-76.5148711688158,25.0,1.0
Baseline,23.0,0.88125,117.88613360304471,4.715445344121786,25.0,100.0,0.0,13.666666666666666,0.75,[],25.0,44.692916443533,104.23515179999991,67.4821406722956,1.0,-76.4136863554762,25.0,1.0
Baseline,24.0,0.8745833333333333,120.13307044408505,4.8053228177634,25.0,100.0,0.6666666666666666,14.333333333333334,0.75,[],25.0,50.03293256926491,99.52926989110426,68.06825750041874,1.0,-76.25391375879433,25.0,1.0
