Agent,time_step,reward,total_throughput_mbps,avg_ue_throughput_mbps,num_satisfied_ues,percentage_satisfied_ues,handovers_this_step,total_handovers_cumulative,avg_bs_load_factor,ue_details,num_connected_ues,sinr_min_db,sinr_max_db,sinr_avg_db,rbs_avg_per_ue,rsrp_avg_dbm,actual_num_ues,epsilon
Baseline,0.0,0.88125,42.49358272246804,4.249358272246805,10.0,100.0,0.0,0.0,0.75,[],10.0,41.340920662023436,84.63038985415766,62.052092436626594,1.0,-80.96260708950945,10.0,1.0
Baseline,1.0,0.88125,39.49601348419623,3.949601348419622,10.0,100.0,0.0,0.0,0.75,[],10.0,42.71292115264884,85.00564242025007,59.744348419033315,1.0,-83.85964728293665,10.0,1.0
Baseline,2.0,0.8565833333333334,42.39983157075944,4.239983157075945,9.666666666666666,96.66666666666667,0.6666666666666666,0.6666666666666666,0.5833333333333334,[],10.0,37.87475469935733,84.98969270845795,61.14513770444474,1.0,-83.15124840366231,10.0,1.0
Baseline,3.0,0.8745833333333333,41.49307427915676,4.149307427915676,10.0,100.0,0.6666666666666666,1.3333333333333333,0.5833333333333334,[],10.0,41.370616009008586,87.93622874934944,62.02395386700757,1.0,-81.70915551040567,10.0,1.0
Baseline,4.0,0.87125,40.77524412477053,4.077524412477054,9.666666666666666,96.66666666666667,0.0,1.3333333333333333,0.5833333333333334,[],10.0,38.59491750744893,86.04439956875866,61.00344919944704,1.0,-82.88462292025868,10.0,1.0
Baseline,5.0,0.88125,41.56085689593173,4.156085689593173,10.0,100.0,0.0,1.3333333333333333,0.5833333333333334,[],10.0,42.905821984649116,83.80212198099015,60.7004348738792,1.0,-83.04263506420304,10.0,1.0
Baseline,6.0,0.8779166666666667,43.70276413023714,4.370276413023714,10.0,100.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,[],10.0,46.065044512597474,87.42699865115462,62.904669924533984,1.0,-81.82589285688483,10.0,1.0
Baseline,7.0,0.8779166666666667,46.1420643471992,4.61420643471992,10.0,100.0,0.3333333333333333,2.0,0.6666666666666666,[],10.0,49.936516066592844,83.92774712066337,64.17569193034183,1.0,-82.62155484126475,10.0,1.0
Baseline,8.0,0.88125,43.224827606767484,4.322482760676748,10.0,100.0,0.0,2.0,0.6666666666666666,[],10.0,42.7997126868874,84.38056484810033,62.26372108780331,1.0,-83.61152867575248,10.0,1.0
Baseline,9.0,0.88125,41.61865398781871,4.161865398781871,10.0,100.0,0.0,2.0,0.6666666666666666,[],10.0,38.25432785229226,83.57408153819702,60.815007722329256,1.0,-82.77776617786796,10.0,1.0
Baseline,10.0,0.88125,41.92141776669642,4.192141776669641,10.0,100.0,0.0,2.0,0.6666666666666666,[],10.0,48.07543532895122,81.77908575252494,61.03180591600352,1.0,-83.27633192576366,10.0,1.0
Baseline,11.0,0.86325,39.17231760825784,3.9172317608257843,9.666666666666666,96.66666666666667,0.0,2.0,0.6666666666666666,[],10.0,34.97343025187497,82.28082409920228,58.115928451494085,1.0,-82.88916715489275,10.0,1.0
Baseline,12.0,0.88125,44.69829768323135,4.469829768323135,10.0,100.0,0.0,2.0,0.6666666666666666,[],10.0,47.3137047071134,88.06029624797962,63.55382455603217,1.0,-83.79923381117227,10.0,1.0
Baseline,13.0,0.87125,42.369155419717664,4.236915541971766,9.666666666666666,96.66666666666667,0.0,2.0,0.6666666666666666,[],10.0,43.77590522884898,85.3147343233699,61.27382657419821,1.0,-82.65519474731944,10.0,1.0
Baseline,14.0,0.88125,44.77998523330772,4.477998523330773,10.0,100.0,0.0,2.0,0.6666666666666666,[],10.0,46.34601768685727,88.12675187739485,64.00776884082428,1.0,-83.62801874319389,10.0,1.0
Baseline,15.0,0.88125,43.828726230118,4.3828726230118,10.0,100.0,0.0,2.0,0.6666666666666666,[],10.0,46.61317143670221,83.6791257509846,62.13165973326765,1.0,-81.92566162105764,10.0,1.0
Baseline,16.0,0.88125,41.78409535102062,4.1784095351020625,10.0,100.0,0.0,2.0,0.6666666666666666,[],10.0,41.98586799900997,87.46213389758002,61.80159155586329,1.0,-82.43177427123132,10.0,1.0
Baseline,17.0,0.88125,42.63697569995522,4.263697569995522,10.0,100.0,0.0,2.0,0.6666666666666666,[],10.0,42.02569045451027,93.63161720116175,63.082230326847004,1.0,-83.34197523998778,10.0,1.0
Baseline,18.0,0.8679166666666666,45.13459111501614,4.513459111501613,9.666666666666666,96.66666666666667,0.3333333333333333,2.3333333333333335,0.6666666666666666,[],10.0,42.42743652367073,86.25950019363268,64.63004056770234,1.0,-82.7910582861651,10.0,1.0
Baseline,19.0,0.8779166666666667,45.09565897622591,4.5095658976225925,10.0,100.0,0.3333333333333333,2.6666666666666665,0.5833333333333334,[],10.0,46.20203566910947,82.5880221292815,63.773361164226195,1.0,-83.5134726614401,10.0,1.0
Baseline,20.0,0.88125,42.10545484868075,4.210545484868075,10.0,100.0,0.0,2.6666666666666665,0.5833333333333334,[],10.0,40.74166407758377,85.44367372912875,61.50443900436213,1.0,-83.69788952624029,10.0,1.0
Baseline,21.0,0.8745833333333333,44.515481429409924,4.451548142940992,10.0,100.0,0.6666666666666666,3.3333333333333335,0.5833333333333334,[],10.0,46.53099540096585,81.76556596044634,62.52438717809506,1.0,-82.62855530297458,10.0,1.0
Baseline,22.0,0.8779166666666667,43.95235858242874,4.3952358582428745,10.0,100.0,0.3333333333333333,3.6666666666666665,0.6666666666666666,[],10.0,45.58105441005572,76.24948271907407,60.74823606676131,1.0,-81.73935391544546,10.0,1.0
Baseline,23.0,0.8565833333333334,43.39619173497186,4.339619173497185,9.666666666666666,96.66666666666667,0.6666666666666666,4.333333333333333,0.6666666666666666,[],10.0,41.9550499391504,84.92380011059576,62.07338496708752,1.0,-82.96573496224164,10.0,1.0
Baseline,24.0,0.87125,41.555906506825586,4.155590650682559,9.666666666666666,96.66666666666667,0.0,4.333333333333333,0.6666666666666666,[],10.0,44.973115988878156,85.7317744912409,60.91415205104422,1.0,-84.86527822008867,10.0,1.0
Baseline,25.0,0.8779166666666667,42.27496871225879,4.227496871225879,10.0,100.0,0.3333333333333333,4.666666666666667,0.6666666666666666,[],10.0,46.129434425302,85.06447757387345,61.83823039964963,1.0,-82.4276895248917,10.0,1.0
Baseline,26.0,0.8779166666666667,43.5099732380472,4.35099732380472,10.0,100.0,0.3333333333333333,5.0,0.6666666666666666,[],10.0,43.2802520878619,83.23762610128513,62.00050792844828,1.0,-81.43990626055863,10.0,1.0
Baseline,27.0,0.8779166666666667,39.60979244800716,3.960979244800716,10.0,100.0,0.3333333333333333,5.333333333333333,0.6666666666666666,[],10.0,41.76555998834029,83.80149934575398,59.59643508569339,1.0,-83.20472826551224,10.0,1.0
