Agent,time_step,reward,total_throughput_mbps,avg_ue_throughput_mbps,num_satisfied_ues,percentage_satisfied_ues,handovers_this_step,total_handovers_cumulative,avg_bs_load_factor,ue_details,num_connected_ues,sinr_min_db,sinr_max_db,sinr_avg_db,rbs_avg_per_ue,rsrp_avg_dbm,actual_num_ues,epsilon
Baseline,0.0,0.72225,52.86988737708478,3.524659158472319,14.666666666666666,73.33333333333333,0.0,0.0,0.75,[],20.0,39.04296057028133,92.92175779489776,63.285216114238295,0.75,-79.94361709815593,20.0,1.0
Baseline,1.0,0.72625,52.73586872081353,3.5157245813875684,14.666666666666666,73.33333333333333,0.0,0.0,0.75,[],20.0,40.9541604293714,87.76668933350253,64.52271231830245,0.75,-80.21421923067918,20.0,1.0
Baseline,2.0,0.7229166666666668,54.390293294903984,3.626019552993599,14.666666666666666,73.33333333333333,0.3333333333333333,0.3333333333333333,0.75,[],20.0,43.63068886294891,89.18617304968832,65.69692278101328,0.75,-81.26165233095846,20.0,1.0
Baseline,3.0,0.7312499999999998,53.61672277593089,3.574448185062059,15.0,75.0,0.0,0.3333333333333333,0.75,[],20.0,46.45534237204701,93.96172174294009,64.89433451176993,0.75,-81.03418315512482,20.0,1.0
Baseline,4.0,0.72125,53.60703407606544,3.5738022717376956,15.0,75.0,1.0,1.3333333333333333,0.75,[],20.0,44.05385701937823,90.92764834793918,64.34063050107511,0.75,-80.92258241800614,20.0,1.0
Baseline,5.0,0.71225,49.617151296906435,3.3078100864604294,14.0,70.0,0.0,1.3333333333333333,0.75,[],20.0,35.91714589540493,90.79567776419417,61.90614010203617,0.75,-81.01022122841077,20.0,1.0
Baseline,6.0,0.7155833333333333,52.171282346197984,3.478085489746532,14.666666666666666,73.33333333333333,0.6666666666666666,2.0,0.75,[],20.0,39.81456129895754,91.28156767354967,64.15810310826645,0.75,-80.20746944741434,20.0,1.0
Baseline,7.0,0.72125,55.200948577435874,3.680063238495725,15.0,75.0,1.0,3.0,0.75,[],20.0,46.86928010287255,91.90569557435923,65.18341049418598,0.75,-80.84598409928465,20.0,1.0
Baseline,8.0,0.7245833333333334,54.486286720974626,3.632419114731642,15.0,75.0,0.6666666666666666,3.6666666666666665,0.75,[],20.0,47.039961664859824,88.97955851641045,65.21169003106414,0.75,-80.50133732420274,20.0,1.0
Baseline,9.0,0.7195833333333334,53.07574666049508,3.5383831106996726,14.666666666666666,73.33333333333333,0.6666666666666666,4.333333333333333,0.75,[],20.0,40.659670471206205,92.92694080325084,64.54253408951828,0.75,-81.38121723770959,20.0,1.0
Baseline,10.0,0.7229166666666668,53.20187088691005,3.5467913924606704,14.666666666666666,73.33333333333333,0.3333333333333333,4.666666666666667,0.75,[],20.0,43.509723992461865,94.09306673555189,65.56522460723936,0.75,-80.807435715876,20.0,1.0
Baseline,11.0,0.7279166666666667,52.220029256894556,3.481335283792971,15.0,75.0,0.3333333333333333,5.0,0.75,[],20.0,39.7871048230885,90.59642047462403,63.505692987037094,0.75,-81.23457135879754,20.0,1.0
Baseline,12.0,0.7162499999999999,51.60558927062103,3.4403726180414016,14.666666666666666,73.33333333333333,1.0,6.0,0.75,[],20.0,43.89402325629436,90.93590652457688,62.976560760297524,0.75,-80.39272337365934,20.0,1.0
Baseline,13.0,0.7179166666666666,50.28610468556683,3.3524069790377893,14.333333333333334,71.66666666666667,0.3333333333333333,6.333333333333333,0.75,[],20.0,37.16732106764522,87.16361735679153,62.71183031507928,0.75,-81.06921503495882,20.0,1.0
