Agent,time_step,reward,total_throughput_mbps,avg_ue_throughput_mbps,num_satisfied_ues,percentage_satisfied_ues,handovers_this_step,total_handovers_cumulative,avg_bs_load_factor,ue_details,num_connected_ues,sinr_min_db,sinr_max_db,sinr_avg_db,rbs_avg_per_ue,rsrp_avg_dbm,actual_num_ues,epsilon
Baseline,0.0,0.84925,48.729419886132895,3.24862799240886,13.666666666666666,91.11111111111113,0.0,0.0,0.75,[],15.0,32.54915422623309,88.56399624500018,52.44414208875619,1.0,-91.36704815154798,15.0,1.0
Baseline,1.0,0.8505833333333332,51.22165750906861,3.4147771672712413,14.0,93.33333333333333,0.0,0.0,0.75,[],15.0,29.63408169917032,85.14553212687791,52.76165528159719,1.0,-91.06853281755491,15.0,1.0
Baseline,2.0,0.838375,51.608381024864485,3.4405587349909665,13.666666666666666,91.1111111111111,0.3333333333333333,0.3333333333333333,0.7916666666666666,[],15.0,29.295731532422376,83.39302599951743,53.321361939406906,1.0,-93.36737898745002,15.0,1.0
Baseline,3.0,0.8392499999999999,48.693432366259735,3.246228824417315,13.333333333333334,88.8888888888889,0.3333333333333333,0.6666666666666666,0.75,[],15.0,29.601816520297874,80.04794134434545,51.39936342287435,1.0222222222222221,-93.04662440093425,15.0,1.0
Baseline,4.0,0.8645833333333334,52.918400000433984,3.527893333362266,14.666666666666666,97.77777777777777,1.0,1.6666666666666667,0.75,[],15.0,36.26035051020701,79.5293828458871,53.52510487470482,1.0444444444444445,-92.85331166977907,15.0,1.0
Baseline,5.0,0.8745833333333333,52.594292276979566,3.5062861517986383,14.666666666666666,97.77777777777777,0.0,1.6666666666666667,0.75,[],15.0,35.16618409821394,85.41104252352302,53.82843568790313,1.0,-91.91274558626701,15.0,1.0
Baseline,6.0,0.8459166666666667,51.68982884378127,3.445988589585418,14.0,93.33333333333333,1.0,2.6666666666666665,0.75,[],15.0,30.680431674795923,84.2378491113678,53.11267907122515,1.0,-91.33398647369421,15.0,1.0
Baseline,7.0,0.8339166666666666,49.58067328689956,3.3053782191266374,13.333333333333334,88.88888888888887,0.3333333333333333,3.0,0.75,[],15.0,29.577283605493022,84.14670482938523,52.54179149506397,1.0,-91.77045673897771,15.0,1.0
Baseline,8.0,0.84725,46.93987740457742,3.129325160305161,14.0,93.33333333333333,0.3333333333333333,3.3333333333333335,0.75,[],15.0,30.87699655470695,84.97196480383816,50.91841162424259,1.0,-91.39481044217797,15.0,1.0
Baseline,9.0,0.8339166666666666,48.96245479579684,3.2641636530531226,13.333333333333334,88.8888888888889,0.3333333333333333,3.6666666666666665,0.75,[],15.0,30.05071559107662,85.20240086086956,51.694559961413425,1.0222222222222221,-91.15340095167528,15.0,1.0
Baseline,10.0,0.8525833333333334,48.97461633787367,3.264974422524911,14.0,93.33333333333333,0.3333333333333333,4.0,0.75,[],15.0,32.313670374825364,82.42895488555867,51.53608377762003,1.0222222222222221,-91.61794606744144,15.0,1.0
Baseline,11.0,0.8559166666666665,51.1448135825816,3.409654238838773,14.333333333333334,95.55555555555554,0.6666666666666666,4.666666666666667,0.75,[],15.0,34.210098952308336,84.20289485531525,53.37998376876569,1.0,-91.23222736100236,15.0,1.0
Baseline,12.0,0.8152499999999999,48.562204258253665,3.2374802838835777,13.0,86.66666666666667,1.0,5.666666666666667,0.75,[],15.0,26.65811453441043,81.81945341161463,51.1897449512318,1.0,-91.59117883244149,15.0,1.0
Baseline,13.0,0.8352499999999999,49.77574446516667,3.3183829643444445,13.666666666666666,91.11111111111113,0.3333333333333333,6.0,0.75,[],15.0,31.552962342723088,83.42561806652378,50.995271820155494,1.0444444444444443,-91.68007803217485,15.0,1.0
Baseline,14.0,0.8219166666666666,49.117575663746756,3.2745050442497843,13.333333333333334,88.8888888888889,1.0,7.0,0.75,[],15.0,30.821332224797686,80.96876858845125,51.727797050886515,1.0,-91.83193518439033,15.0,1.0
